id,materia,tipo,dificuldade,ano,origem_titulo,origem_numero,gabarito,qtd_alternativas,topicos,tags
469249,Arte,multipla escolha,Médio,2026,Simulado / Curso / Simulado / Aberto ENEM / 1º semestre - 1º dia,Q32,C,5,Artes | Arte Brasileira | Arte Brasileira Colonial,Médio | Arte | Artes | Arte Brasileira | Arte Brasileira Colonial
468703,Arte,multipla escolha,Médio,2026,Simulado / Curso / Simulado / Aberto FUVEST,Q31,A,5,Artes | Artes Visuais | Artes Visuais | Português | Interpretação de texto | Análise de texto | Análise de imagem | Estudo de texto em prosa,Médio | Arte | Artes | Artes Visuais | Artes Visuais | Português | Interpretação de texto | Análise de texto | Análise de imagem | Estudo de texto em prosa
466410,Arte,multipla escolha,Médio,2026,ETAPA,Q33,D,5,Artes | Arte Brasileira | Arte Brasileira Contemporânea,Médio | Arte | Artes | Arte Brasileira | Arte Brasileira Contemporânea
466391,Arte,multipla escolha,Difícil,2026,ETAPA,Q25,C,5,História da arte | Movimentos Artísticos | Movimentos Artísticos,Difícil | Arte | História da arte | Movimentos Artísticos | Movimentos Artísticos
466386,Arte,multipla escolha,Médio,2026,ETAPA,Q22,E,5,Artes | Arte Brasileira | Arte Brasileira Moderna,Médio | Arte | Artes | Arte Brasileira | Arte Brasileira Moderna
466378,Arte,multipla escolha,Médio,2026,ETAPA,Q17,B,5,Artes | Artes Visuais | Artes Visuais,Médio | Arte | Artes | Artes Visuais | Artes Visuais
466321,Arte,multipla escolha,Médio,2026,ETAPA,Q13,A,5,Artes | Conhecimentos geométricos | Conhecimentos geométricos,Médio | Arte | Artes | Conhecimentos geométricos | Conhecimentos geométricos
465894,Arte,multipla escolha,Médio,2025,ENEM 2ª Aplicação,Q59,C,5,Artes | Arte Africana | Arte Brasileira | Arte Africana | Arte Brasileira Contemporânea,Médio | Arte | Artes | Arte Africana | Arte Brasileira | Arte Africana | Arte Brasileira Contemporânea
465800,Arte,multipla escolha,Médio,2025,ENEM 2ª Aplicação,Q9,E,5,Artes | Arte Brasileira | Artes Visuais | Arte Brasileira Contemporânea | Artes Visuais,Médio | Arte | Artes | Arte Brasileira | Artes Visuais | Arte Brasileira Contemporânea | Artes Visuais
464338,Arte,multipla escolha,Médio,2025,"Apostila Regular (Extensivo ENEM, PV, Revisão)",Q187,D,5,Artes,Médio | Arte | Artes
464332,Arte,multipla escolha,Médio,2025,"Apostila Regular (Extensivo ENEM, PV, Revisão)",Q166,D,5,Artes | Português | Interpretação de texto,Médio | Arte | Artes | Português | Interpretação de texto
464111,Arte,multipla escolha,Médio,2025,"Apostila Regular (Extensivo ENEM, PV, Revisão)",Q76,A,5,Artes | Português | Interpretação de texto,Médio | Arte | Artes | Português | Interpretação de texto
